slug,image_type,path,format,alt_text,license,source,note
aod-9604,sequence_card,images/structures/aod-9604.svg,svg,"Data card for AOD-9604 (hGH fragment 176-191 analog): peptide, molecular formula C78H123N23O23S2, 126 heavy atoms, molecular weight 1815.1 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (126 heavy atoms > 70) — schematic card, not a 2D depiction"
argireline,grade_card,images/grade-cards/argireline.svg,svg,"Evidence-grade card for Argireline (Acetyl Hexapeptide-8). Overall grade C. Per-outcome — Topical: appearance of dynamic/expression wrinkles: C; Reaching the neuromuscular junction at cosmetic doses (the ""muscle-relaxing"" premise): D; ""Works like / comparable to Botox"": F; Safety (topical): not graded. Based on 6 cited sources, 3 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
argireline,structure,images/structures/argireline.svg,svg,"2D chemical structure of Argireline (Acetyl Hexapeptide-8) (C35H62N14O11S), molecular weight 887.0 g/mol, 61 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
azelaic-acid,grade_card,images/grade-cards/azelaic-acid.svg,svg,"Evidence-grade card for Azelaic Acid. Overall grade B. Per-outcome — Acne (appearance, cosmetic-strength topical): B; Rosacea — redness & bumps (appearance): B; Hyperpigmentation / PIH (appearance): B; Melasma (appearance): B; Skin-aging / wrinkles: F; Safety & tolerability (topical): not graded. Based on 3 cited sources, 3 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
azelaic-acid,structure,images/structures/azelaic-acid.svg,svg,"2D chemical structure of Azelaic Acid (C9H16O4), molecular weight 188.2 g/mol, 13 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
bakuchiol,grade_card,images/grade-cards/bakuchiol.svg,svg,"Evidence-grade card for Bakuchiol. Overall grade B. Per-outcome — Topical: fine wrinkles / photoaging appearance: B; Hyperpigmentation appearance: B; Tolerability vs retinol (fewer side effects): B; Collagen/ECM gene expression (mechanism-level): B; Antioxidant / anti-lipoperoxidation: B; Acne appearance: C; Pregnancy / breastfeeding safety: not graded; Purity, sourcing, and photosensitising contaminants (safety): not graded; Systemic / oral use: F. Based on 9 cited sources, 5 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
bakuchiol,structure,images/structures/bakuchiol.svg,svg,"2D chemical structure of Bakuchiol (C18H24O), molecular weight 256.4 g/mol, 19 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
bimagrumab,grade_card,images/grade-cards/bimagrumab.svg,svg,"Evidence-grade card for Bimagrumab (BYM338). Overall grade B. Per-outcome — Body recomposition (fat ↓ + lean ↑), obesity/T2D: B; Muscle-sparing + fat loss with GLP-1 (the thesis): B; Sporadic inclusion body myositis (original indication): F; Sarcopenia / post-hip-fracture: C; Metabolic (insulin sensitivity): B; Safety: not graded. Based on 4 cited sources, 2 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
bimagrumab,none,,,,CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,no image — identifier confidence 'none'; no confident structure to render
bpc-157,grade_card,images/grade-cards/bpc-157.svg,svg,"Evidence-grade card for BPC-157. Overall grade B. Per-outcome — GI / gastric mucosal protection (NSAID-, ethanol-, stress-induced ulcers): B; Tendon & ligament healing: B; Muscle & bone injury healing: C; Nerve / spinal-cord / brain injury: C; Ulcerative colitis (the FDA-nominated compounding use): D; Marketed ""healing stack"" / human recovery, performance, anti-aging: F; Human safety & long-term effects: not graded. Based on 6 cited sources, 3 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
bpc-157,sequence_card,images/structures/bpc-157.svg,svg,"Data card for BPC-157: peptide, molecular formula C62H98N16O22, 100 heavy atoms, molecular weight 1419.6 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (100 heavy atoms > 70) — schematic card, not a 2D depiction"
cagrilintide,grade_card,images/grade-cards/cagrilintide.svg,svg,"Evidence-grade card for Cagrilintide. Overall grade B. Per-outcome — Weight loss — CagriSema (combination): B; Weight loss — cagrilintide monotherapy: B; Amylin / satiety mechanism: not graded; Safety: not graded. Based on 4 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
cagrilintide,sequence_card,images/structures/cagrilintide.svg,svg,"Data card for Cagrilintide: peptide, molecular formula C194H312N54O59S2, 309 heavy atoms, molecular weight 4409.1 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (309 heavy atoms > 70) — schematic card, not a 2D depiction"
ceramides,grade_card,images/grade-cards/ceramides.svg,svg,"Evidence-grade card for Ceramides. Overall grade A. Per-outcome — Barrier repair / TEWL reduction (ceramide-dominant formula): A; Adjunct in atopic dermatitis / eczema-prone dry skin (appearance & comfort): A; Aged / menopausal skin barrier (hydration & smoothness appearance): B; Oral ceramide supplementation (skin hydration): C. Based on 6 cited sources, 3 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
ceramides,none,,,,CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,no image — identifier confidence 'none'; no confident structure to render
cerebrolysin,grade_card,images/grade-cards/cerebrolysin.svg,svg,"Evidence-grade card for Cerebrolysin. Overall grade C. Per-outcome — Vascular dementia: C; Alzheimer's disease (cognition): C; Stroke recovery (cognitive/functional): C; Traumatic brain injury (TBI): C; Nootropic use in healthy adults (the gray-market use): F; Independent replication / overall quality: not graded; Safety: not graded. Based on 5 cited sources, 1 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
cerebrolysin,none,,,,CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,no image — identifier confidence 'none'; no confident structure to render
cjc-1295,grade_card,images/grade-cards/cjc-1295.svg,svg,"Evidence-grade card for CJC-1295. Overall grade B. Per-outcome — Raises GH / IGF-1 in humans: B; Clinical efficacy (lipodystrophy): D; Anti-aging / body composition / muscle: F; Safety & long-term: not graded. Based on 3 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
cjc-1295,sequence_card,images/structures/cjc-1295.svg,svg,"Data card for CJC-1295: peptide, molecular formula C165H269N47O46, 258 heavy atoms, molecular weight 3647.2 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (258 heavy atoms > 70) — schematic card, not a 2D depiction"
cjc-1295-ipamorelin,grade_card,images/grade-cards/cjc-1295-ipamorelin.svg,svg,"Evidence-grade card for CJC-1295 + Ipamorelin (""CJC/Ipa""). Overall grade C. Per-outcome — Synergistic GH release (combination): C; The specific CJC-1295 + Ipamorelin combination for any clinical endpoint: F; Safety (combination): not graded. Based on 0 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
cjc-1295-ipamorelin,none,,,,CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,no image — identifier confidence 'none'; no confident structure to render
dasatinib-quercetin,grade_card,images/grade-cards/dasatinib-quercetin.svg,svg,"Evidence-grade card for Dasatinib + Quercetin / Fisetin (Senolytics). Overall grade A. Per-outcome — Senescent-cell clearance in humans (the proof-of-concept): B; Lifespan/healthspan (animal): A; Alzheimer's / cognition (human): F; Osteoporosis / bone (human): D; Frailty / physical function (human): C; Safety (intermittent dosing): B. Based on 5 cited sources, 3 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
dasatinib-quercetin,none,,,,CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,no image — identifier confidence 'none'; no confident structure to render
dihexa,grade_card,images/grade-cards/dihexa.svg,svg,"Evidence-grade card for Dihexa (PNB-0408). Overall grade F. Per-outcome — Synaptogenesis / cognition (the marketed use): F; HGF/c-Met mechanism: F; Clinical translation (via the lineage): F; Human efficacy or safety (Dihexa itself): F; Safety / oncologic risk: not graded. Based on 5 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
dihexa,structure,images/structures/dihexa.svg,svg,"2D chemical structure of Dihexa (PNB-0408) (C27H44N4O5), molecular weight 504.7 g/mol, 36 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
dsip,grade_card,images/grade-cards/dsip.svg,svg,"Evidence-grade card for DSIP (Delta Sleep-Inducing Peptide / Emideltide). Overall grade C. Per-outcome — Delta / slow-wave EEG (animal): C; Chronic insomnia (human): C; Opioid / alcohol withdrawal, stress, pain: D; Mechanism / receptor: not graded; Safety: not graded. Based on 4 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
dsip,structure,images/structures/dsip.svg,svg,"2D chemical structure of DSIP (Delta Sleep-Inducing Peptide / Emideltide) (C35H48N10O15), molecular weight 848.8 g/mol, 60 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
ectoin,grade_card,images/grade-cards/ectoin.svg,svg,"Evidence-grade card for Ectoin. Overall grade B. Per-outcome — Topical: barrier function / TEWL reduction: B; Skin hydration: B; Redness and appearance of sensitive/reactive skin: B; Atopic dermatitis (medical use, not cosmetic): B; Protection against UV and pollution-induced skin stress: B; Anti-wrinkle / collagen-building claims: D; Safety (topical): not graded. Based on 5 cited sources, 4 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
ectoin,structure,images/structures/ectoin.svg,svg,"2D chemical structure of Ectoin (C6H10N2O2), molecular weight 142.2 g/mol, 10 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
eloralintide,grade_card,images/grade-cards/eloralintide.svg,svg,"Evidence-grade card for Eloralintide. Overall grade A. Per-outcome — Weight loss / obesity: B; Tolerability: A; Cardiometabolic risk factors: B; Combination with tirzepatide: not graded; Safety: B. Based on 4 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
eloralintide,sequence_card,images/structures/eloralintide.svg,svg,"Data card for Eloralintide: peptide, molecular formula C201H319N49O65S2, 317 heavy atoms, molecular weight 4526.2 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (317 heavy atoms > 70) — schematic card, not a 2D depiction"
epitalon,grade_card,images/grade-cards/epitalon.svg,svg,"Evidence-grade card for Epitalon (Epithalon). Overall grade C. Per-outcome — Telomerase upregulation / telomere elongation (in vitro): C; Lifespan extension (animal): C; Human longevity / mortality / age-markers: D; Circadian rhythm / sleep / melatonin: D; Marketed ""reverses aging / turns back the cellular clock"": F; Safety & long-term: not graded. Based on 4 cited sources, 2 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
epitalon,structure,images/structures/epitalon.svg,svg,"2D chemical structure of Epitalon (Epithalon) (C14H22N4O9), molecular weight 390.3 g/mol, 27 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
exosomes,grade_card,images/grade-cards/exosomes.svg,svg,"Evidence-grade card for Exosomes. Overall grade C. Per-outcome — Topical antioxidant / soothing / barrier support (plant-derived cosmetic exosomes): C; Short-term skin-appearance benefits (exosomes broadly — hydration, elasticity, fine lines, pores, pigmentation): C; ""Regenerative"" skin transformation from a topical (especially plant) exosome: D; Established anti-ageing category (the field as a whole): D; Injected / clinical (MSC) exosome therapy — for context, NOT cosmetic scope: not graded. Based on 4 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
exosomes,none,,,,CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,no image — identifier confidence 'none'; no confident structure to render
follistatin,grade_card,images/grade-cards/follistatin.svg,svg,"Evidence-grade card for Follistatin (FST-344). Overall grade D. Per-outcome — Muscle hypertrophy via myostatin inhibition (the biology): not graded; Injected follistatin protein → muscle in healthy humans (the marketed use): F; Gene therapy for muscular dystrophy / IBM: D; Broader myostatin-inhibitor drug class: not graded; Safety: not graded. Based on 4 cited sources, 1 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
follistatin,none,,,,CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,no image — identifier confidence 'none'; no confident structure to render
fosgonimeton,grade_card,images/grade-cards/fosgonimeton.svg,svg,"Evidence-grade card for Fosgonimeton (ATH-1017). Overall grade B. Per-outcome — Alzheimer's disease (the lead use): F; Parkinson's / Lewy-body dementia: F; Subgroup ""signals"" (APOE4, monotherapy, advanced disease): D; HGF/MET mechanism (as biology): C; Safety: B. Based on 4 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
fosgonimeton,structure,images/structures/fosgonimeton.svg,svg,"2D chemical structure of Fosgonimeton (ATH-1017) (C27H45N4O8P), molecular weight 584.7 g/mol, 40 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
foxo4-dri,grade_card,images/grade-cards/foxo4-dri.svg,svg,"Evidence-grade card for FOXO4-DRI. Overall grade B. Per-outcome — Senescent-cell clearance (senolysis): D; Healthspan / tissue-function restoration (aged mice): F; Wound/keloid, testosterone (senescent Leydig cells), chemo-recovery: F; Human efficacy or safety: F; Mechanism / target engagement: B; Safety: not graded. Based on 4 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
foxo4-dri,none,,,,CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,no image — identifier confidence 'none'; no confident structure to render
ghk-cu,grade_card,images/grade-cards/ghk-cu.svg,svg,"Evidence-grade card for GHK-Cu (Copper Tripeptide-1). Overall grade B. Per-outcome — Topical: appearance of photoaged skin (fine lines, firmness, density): B; Collagen/elastin synthesis & balanced MMP/TIMP remodeling: B; Skin penetration of intact-skin serums: not graded; Post-procedure wound healing (e.g., after laser resurfacing): C; Hair growth / density: D; Systemic / injectable ""anti-aging / resets gene expression"": F; Safety (topical): not graded. Based on 8 cited sources, 2 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
ghk-cu,structure,images/structures/ghk-cu.svg,svg,"2D chemical structure of the entity resolved for GHK-Cu (Copper Tripeptide-1) (C14H24N6O4), molecular weight 340.4 g/mol, 24 heavy atoms. Note: PubChem record is the free peptide ligand — the coordinated metal ion is NOT part of this structure; the register compound is the metal complex.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,PubChem record is the free peptide ligand — the coordinated metal ion is NOT part of this structure; the register compound is the metal complex
ghrp-2,grade_card,images/grade-cards/ghrp-2.svg,svg,"Evidence-grade card for GHRP-2 (Pralmorelin). Overall grade B. Per-outcome — GH release (diagnostic): B; GH-deficiency diagnostic testing (approved, Japan): B; Anti-aging / body composition (the popular use): F; Safety: not graded. Based on 2 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
ghrp-2,structure,images/structures/ghrp-2.svg,svg,"2D chemical structure of GHRP-2 (Pralmorelin) (C45H55N9O6), molecular weight 818.0 g/mol, 60 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
ghrp-6,grade_card,images/grade-cards/ghrp-6.svg,svg,"Evidence-grade card for GHRP-6. Overall grade B. Per-outcome — GH release: B; Appetite stimulation (cachexia / wasting research): C; Anti-aging / body composition / muscle (the popular use): F; Safety: not graded. Based on 3 cited sources, 1 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
ghrp-6,structure,images/structures/ghrp-6.svg,svg,"2D chemical structure of GHRP-6 (C46H56N12O6), molecular weight 873.0 g/mol, 64 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
glutathione,grade_card,images/grade-cards/glutathione.svg,svg,"Evidence-grade card for Glutathione (GSH). Overall grade A. Per-outcome — Endogenous antioxidant / detox role: A; Oral glutathione — skin lightening: C; Topical glutathione — pigmentation: C; IV glutathione — skin lightening (the most popular use): F; Anti-aging / wrinkles / elasticity: D; Safety — oral/topical: B; Safety — IV (the decisive warning): not graded. Based on 4 cited sources, 2 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
glutathione,structure,images/structures/glutathione.svg,svg,"2D chemical structure of Glutathione (GSH) (C10H17N3O6S), molecular weight 307.3 g/mol, 20 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
hexarelin,grade_card,images/grade-cards/hexarelin.svg,svg,"Evidence-grade card for Hexarelin (Examorelin). Overall grade B. Per-outcome — GH release: B; Cardioprotection (CD36, GH-independent): C; Metabolic / ""fat-burning"" (CD36 / adipocyte): C; Anti-aging / body composition (the popular use): F; Safety: not graded. Based on 3 cited sources, 1 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
hexarelin,structure,images/structures/hexarelin.svg,svg,"2D chemical structure of Hexarelin (Examorelin) (C47H58N12O6), molecular weight 887.1 g/mol, 65 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
humanin,grade_card,images/grade-cards/humanin.svg,svg,"Evidence-grade card for Humanin (HN / HNG / S14G-Humanin). Overall grade C. Per-outcome — Longevity biomarker (levels correlate with lifespan/health): C; Neuroprotection / Alzheimer's (the discovery context): F; Insulin sensitivity / metabolic: F; Cardioprotection (ischemia, age-related fibrosis): F; ""Anti-aging / healthspan"" (the popular use): F; Safety (exogenous administration in humans): not graded. Based on 5 cited sources, 1 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
humanin,sequence_card,images/structures/humanin.svg,svg,"Data card for Humanin (HN / HNG / S14G-Humanin): peptide, molecular formula C119H204N34O32S2, 187 heavy atoms, molecular weight 2687.3 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (187 heavy atoms > 70) — schematic card, not a 2D depiction"
hyaluronic-acid,grade_card,images/grade-cards/hyaluronic-acid.svg,svg,"Evidence-grade card for Hyaluronic Acid (Sodium Hyaluronate). Overall grade A. Per-outcome — Topical: skin hydration (all molecular weights): A; Fine lines and wrinkle appearance (LMW-HA 50–130 kDa): B; Skin elasticity and appearance of firmness: B; Barrier function / TEWL reduction: B; Oral supplementation for skin hydration and wrinkles: B; Injectable dermal fillers (crosslinked HA, e.g. Restylane, Juvederm, Profhilo): A; Safety (topical): not graded. Based on 6 cited sources, 3 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
