slug,name,region,status,note
bakuchiol,Bakuchiol,EU,Lawful cosmetic ingredient (unrestricted),"Topical Bakuchiol is a lawful cosmetic ingredient in the EU under Regulation (EC) 1223/2009. CosIng-listed as ""Bakuchiol"" (skin conditioning). Not restricted under Annex III (unlike retinol per Regulation (EU) 2024/996). No mandatory warning label required. INCI declaration requires >80% purity. Unpurified Psoralea corylifolia extracts fall under a different INCI name and different safety profile."
bakuchiol,Bakuchiol,UK,Lawful cosmetic ingredient,UK Cosmetics Regulation (retained EU law post-Brexit) treats bakuchiol the same as the EU.
bakuchiol,Bakuchiol,US,Lawful cosmetic ingredient,Topical bakuchiol is a lawful cosmetic ingredient in the US; no concentration limits at cosmetic use; not FDA-approved as a drug and cannot make medical claims.
bakuchiol,Bakuchiol,INT,Lawful cosmetic ingredient,Broadly lawful for cosmetic use worldwide. Rising demand and regulatory tightening around retinol are driving broader adoption; expect continued growth in global cosmetic product launches through 2026–2027.
bimagrumab,Bimagrumab (BYM338),INT,See note,"- Everywhere — investigational, not approved. Multiple Phase 2/2b obesity trials ongoing (semaglutide combo positive; tirzepatide combos mixed; readouts 2026).
- Gray market: effectively none — a monoclonal antibody requires complex biologic manufacturing and cannot be casually synthesised or sold the way peptides are. It's a pure pharma-pipeline asset, and in this register a notable marker of the ""muscle-sparing"" theme.
- ⚠ Sport: as an agent blocking the myostatin/activin (ActRII) pathway, it falls under WADA S4 (hormone and metabolic modulators)."
bpc-157,BPC-157,EU,Not approved,"Not approved for human use; no marketing authorisation. Not eligible for magistral/officinal compounding (no European Pharmacopoeia monograph; not in national formularies). Sold in the EU only as a non-medicinal ""research"" chemical, which does not authorise human use."
bpc-157,BPC-157,US,Not FDA-approved (503A Cat. 2),"Removed from the FDA's 503A Category 2 (restricted) list in April 2026, which lifted the explicit compounding ban. Not added to the 503A positive Bulks List. Reviewed by the Pharmacy Compounding Advisory Committee (PCAC) on 23 July 2026 (docket FDA-2025-N-6895); FDA's own pre-meeting briefing documents proposed not adding it to the list. The PCAC vote is advisory only; the FDA's final determination is issued as a Federal Register rule — none issued as of this writing. Net: a transitional gray area, no formal authorisation."
bpc-157,BPC-157,INT,Status varies,Approved nowhere for any indication; research status varies by country.
cagrilintide,Cagrilintide,INT,See note,"- Everywhere — investigational, not approved. Cagrilintide is not available by prescription or through compounding pharmacies outside clinical trials. CagriSema is under FDA review (filed Dec 2025; decision expected late 2026).
- Gray market: ""research"" cagrilintide is sold online but is unapproved and unregulated — unknown purity/dose.
- This venture: not a sellable lane — an investigational drug."
ceramides,Ceramides,INT,Lawful cosmetic ingredient,"Topical ceramides (ceramide NP, ceramide AP, ceramide EOP, and related sphingolipids and pseudo-ceramides) are lawful cosmetic ingredients globally, including EU (Regulation (EC) 1223/2009). CosIng-listed by species. No concentration ceiling. Naturally present in human skin; widely used at 0.05–2% depending on species and formulation. Not a restricted or controlled substance in any major market."
cerebrolysin,Cerebrolysin,EU,Status varies,"status varies by country; it is a prescription medical product where registered, not a cosmetic and not a self-administered supplement."
cjc-1295,CJC-1295,EU,Not approved,Not approved; not eligible for magistral/officinal compounding (no Ph. Eur. monograph).
cjc-1295,CJC-1295,US,Not FDA-approved (503A Cat. 2),"Placed in 503A Category 2 (2023); its status is in flux amid the 2026 HHS/FDA peptide reclassification, but it is not among the seven peptides in the specific July 23–24 2026 PCAC review; not FDA-approved (IND)."
cjc-1295,CJC-1295,INT,Not approved,Not approved.
cjc-1295-ipamorelin,"CJC-1295 + Ipamorelin (""CJC/Ipa"")",INT,See note,"the status of both components applies — placed in 503A Category 2 (2023), status in flux in 2026, not among the July 23–24 2026 PCAC seven, not FDA-approved; not approved in the EU; WADA-prohibited (S2.2)."
dasatinib-quercetin,Dasatinib + Quercetin / Fisetin (Senolytics),INT,See note,"- Dasatinib — an approved prescription cancer drug (leukemia). Senolytic/longevity use is off-label and requires medical oversight (it's a real chemotherapeutic).
- Quercetin / Fisetin — natural flavonoids sold as dietary supplements (widely legal); found in foods. No approved senolytic/anti-aging indication.
- Your region · EU · US — no senolytic use is approved; all longevity use is investigational/off-label.
- Gray-market note: quercetin and fisetin are freely sold supplements (and cosmetic ingredients); dasatinib is a potent prescription chemo drug that should never be self-administered for longevity."
dihexa,Dihexa (PNB-0408),EU,Not FDA-approved (gray-market),not approved anywhere; investigational research chemical. Not a cosmetic. No compounding pathway (reports indicate FDA removed it from interim Category-2 bulk-substance consideration).
dsip,DSIP (Delta Sleep-Inducing Peptide / Emideltide),EU,Not approved,Not approved; not eligible for magistral/officinal compounding.
dsip,DSIP (Delta Sleep-Inducing Peptide / Emideltide),US,Not FDA-approved (503A Cat. 2),"Not FDA-approved. Placed in 503A Category 2 (Sept 2023); scheduled for PCAC review in July 2026 under the name Emideltide, covering proposed uses in opioid withdrawal, chronic insomnia and narcolepsy (docket FDA-2025-N-6895). A change in review status — not an approval."
dsip,DSIP (Delta Sleep-Inducing Peptide / Emideltide),INT,Approved nowhere,Approved nowhere.
ectoin,Ectoin,INT,Lawful cosmetic ingredient,"Topical Ectoin is a lawful cosmetic ingredient globally, including EU (Regulation (EC) 1223/2009), UK, US, and Asia. CosIng-listed. Also registered as an active in EU medical-device products (e.g. atopic dermatitis creams) — these are regulated separately under MDR 2017/745, not as cosmetics. Consumer serum formulations typically use 0.5–2%."
eloralintide,Eloralintide,EU,Not FDA-approved (gray-market),"investigational; not approved. Phase 2 complete → Phase 3 enrolling (obesity). A well-capitalized Lilly clinical program, not a gray-market compound."
epitalon,Epitalon (Epithalon),EU,Not FDA-approved (gray-market),Not approved for human use; not eligible for magistral/officinal compounding (no Ph. Eur. monograph). Research-chemical sale does not authorise human use.
epitalon,Epitalon (Epithalon),US,Not FDA-approved (under review),"On the PCAC agenda for 24 July 2026 (day two, with DSIP/Emideltide and Semax); removed from Category 2 in April 2026; FDA's pre-meeting briefing documents proposed not adding it to the 503A Bulks List. Advisory only; no final rule. Not approved."
epitalon,Epitalon (Epithalon),INT,Approved Russia/CIS · not FDA-approved,"Not approved as a medicine in Western jurisdictions. (Khavinson's peptide ""bioregulators"" have a separate history in Russia; that is not Western approval.)"
exosomes,Exosomes,INT,Lawful cosmetic ingredient (plant-derived),"Plant-derived exosomes fall outside the FDA HCT/P human-tissue framework (which governs only human-derived material), which is precisely why cosmetic exosome products are almost always plant-derived. Human-derived exosomes are NOT FDA-approved for therapeutic use outside clinical trials, trigger HCT/P regulation, and disease/treatment claims draw enforcement. This is regulatory context, not a health claim."
follistatin,Follistatin (FST-344),INT,See note,"- Everywhere — not approved for any human indication. Sold only as a ""research"" chemical — and because it's a large protein, gray-market ""Follistatin-344"" is frequently underdosed, mislabelled or contaminated.
- ⚠ Sport: WADA-prohibited — myostatin-inhibiting agents are explicitly banned (Section S4.4, Hormone and Metabolic Modulators). Do not touch it in tested sport."
fosgonimeton,Fosgonimeton (ATH-1017),US,Not approved,not approved for any indication; its lead Alzheimer's program failed Phase 2/3 (2024). Investigational; the pathway continues only in a separate ALS candidate (ATH-1105).
foxo4-dri,FOXO4-DRI,EU,Not FDA-approved (gray-market),not approved anywhere; investigational research peptide. Not a cosmetic. No human clinical data; no compounding pathway.
ghk-cu,GHK-Cu (Copper Tripeptide-1),INT,See note,"Topical (INCI Copper Tripeptide-1) — a lawful cosmetic ingredient in the EU (Regulation (EC) 1223/2009) and widely used globally; this is the form sold. Claims are constrained by cosmetic regulation — see the cosmetic_claims block.

Injectable / systemic — Not approved anywhere as a medicine. EU: not eligible for magistral / officinal compounding (no Ph. Eur. monograph exists). US: on 15 April 2026 the FDA removed injectable GHK-Cu from the Category 2 bulks list (previously restricting 503A compounding since 2023–2024) but did NOT add it to Category 1 — creating an interim regulatory posture. A PCAC (Pharmacy Compounding Advisory Committee) review of both injectable and non-injectable GHK-Cu is scheduled before end-February 2027; some 503A compounding pharmacies have resumed preparation on the basis of the Category 2 removal, others await affirmative Category 1 authorization. The topical / non- injectable route sits on Category 1 pending the same PCAC review. Recheck the early-2027 PCAC outcome before any US injectable references are updated."
ghrp-2,GHRP-2 (Pralmorelin),US,Not FDA-approved (gray-market),not FDA-approved; has not been through the FDA drug-approval process (503A Category-2 / gray-market for off-label use).
ghrp-2,GHRP-2 (Pralmorelin),EU,Not approved,not approved.
ghrp-6,GHRP-6,INT,See note,"- Everywhere — not approved for human therapeutic use; a research compound (503A Category-2 / gray-market). (Unlike GHRP-2, GHRP-6 has no approval anywhere.)
- ⚠ Sport: WADA-prohibited at all times — Section S2.2 (GH secretagogues)."
glutathione,Glutathione (GSH),INT,See note,"- Oral supplement — widely legal: GRAS/OTC dietary-supplement status in the US, Philippines, Japan, India and elsewhere; no prescription needed.
- Topical — used as a cosmetic ingredient (effect limited to the application site).
- ⚠ Injectable / IV — not FDA-approved for skin lightening anywhere; off-label; the Philippine FDA and dermatological societies warn against it; in the US it is legal only if prescribed by a professional and compounded by a licensed pharmacy. Online/unlicensed injectable glutathione is exactly what authorities warn against.
- Gray-market note: heavily sold (especially IV) for whitening/anti-aging. Oral/topical glutathione is a legal lane; injectable skin-lightening is not, and should never be sold."
hexarelin,Hexarelin (Examorelin),INT,See note,"- Everywhere — not approved for human therapeutic use (Phase 2 reached, never marketed). Research compound. Not FDA-approved, and reportedly not on the FDA Category-2 list (a slightly different position from GHRP-2/6).
- ⚠ Sport: WADA-prohibited at all times — Section S2.2 (GH secretagogues)."
humanin,Humanin (HN / HNG / S14G-Humanin),EU,Not FDA-approved (gray-market),"not approved anywhere for any indication; not a cosmetic; investigational research peptide only. No EMA/FDA marketing authorisation, no compounding pathway."
hyaluronic-acid,Hyaluronic Acid (Sodium Hyaluronate),INT,Lawful cosmetic ingredient,"Topical Hyaluronic Acid and Sodium Hyaluronate are lawful cosmetic ingredients globally, including EU (Regulation (EC) 1223/2009). CosIng- listed. No concentration ceiling. Injectable crosslinked HA (dermal fillers) are medical devices under separate regulation (EU MDR 2017/745) and are not sold as cosmetics."
igf-1-lr3,IGF-1 LR3 (Long R3 IGF-1),INT,See note,"- Everywhere — not approved for muscle, performance or anti-aging. Native IGF-1 (mecasermin / Increlex) is FDA- and EMA-approved for pediatric severe primary IGF-1 deficiency only; IGF-1 LR3 is not separately authorised for anything therapeutic — it is a research / cell-culture reagent sold gray-market for bodybuilding.
- ⚠ Sport: WADA-prohibited at all times — Section S2 (Peptide Hormones, Growth Factors); validated LongR3-IGF-I detection assays exist. Banned in and out of competition."
ipamorelin,Ipamorelin,EU,Not approved,Not approved; not eligible for magistral/officinal compounding.
ipamorelin,Ipamorelin,US,Not FDA-approved (503A Cat. 2),"Placed in 503A Category 2 (2023); status in flux amid the 2026 reclassification, but not among the seven peptides in the specific July 23–24 2026 PCAC review; not FDA-approved."
ipamorelin,Ipamorelin,INT,Not approved,Not approved.
kisspeptin-10,Kisspeptin-10 (KP-10),EU,Not FDA-approved (gray-market),"research use only; not approved by FDA or EMA for any therapeutic use. But — unlike most gray-market peptides — it has an active, legitimate clinical-trial pipeline (Phase 1/2), so its ""unproven"" status is ""not yet approved, actively being developed,"" not ""fringe."""
kojic-acid,Kojic Acid,EU,Restricted — maximum 1% in leave-on face and hand products,"EU Regulation 2024/996 (the same package that capped retinol at 0.3%) limits kojic acid to a maximum of 1% in leave-on face and hand products, after an SCCS review that concluded 1% is safe for consumers. Older non-compliant products were phased out. Much of kojic acid's strongest efficacy evidence comes from 2–4%, so an EU-compliant product is deliberately milder than what the studies tested."
kojic-acid,Kojic Acid,INT,Lawful cosmetic ingredient,"Kojic acid is a long-established, globally recognised cosmetic brightening ingredient. Concentration limits and rules vary by region; the EU cap of 1% is the notable restriction."
kpv,KPV,US,Not FDA-approved (gray-market),"Not FDA-approved. In the July 2026 PCAC review batch for 503A compounding (regulatory status in flux through the 2025–2026 review). Sold gray-market as a ""research"" peptide (often for gut health, sometimes alongside BPC-157)."
kpv,KPV,EU,Not approved,not approved.
larazotide,"Larazotide (AT-1001, Larazotide Acetate)",US,Not approved,"not approved for any indication (the Phase 3 celiac program failed in 2022). It had FDA Fast Track during development, but never reached approval. Investigational."
liraglutide,Liraglutide,US,Approved / prescription,"FDA- and EMA-approved (Victoza, Saxenda, and generics). Unlike semaglutide/tirzepatide, it is not caught in the shortage/compounding situation — approved generics exist."
ll-37,LL-37 (Cathelicidin),EU,not an approved drug,not an approved drug; investigational. Not an approved cosmetic ingredient (an injectable pro-inflammatory alarmin is not a topical cosmetic). No compounding pathway.
matrixyl,Matrixyl (Palmitoyl Pentapeptide-4),EU,Lawful cosmetic,"a lawful cosmetic ingredient (EU Regulation (EC) 1223/2009; US cosmetic law), sold over-the-counter worldwide. No injectable or ""research"" lane, no drug filing. Straightforwardly sellable as a cosmetic — the constraint is the claims."
mazdutide,Mazdutide (IBI362 / LY3305677),EU,Not approved,not approved outside China; investigational elsewhere. Not a cosmetic; no compounding pathway.
melanotan-ii,Melanotan II,US,Not FDA-approved (503A Cat. 2),FDA classifies MT-II in Category 2 of the 503A bulks list (a substance that raises significant safety risks for compounding).
melanotan-ii,Melanotan II,EU,illegal to sell for human use,"illegal to sell for human use; nonetheless widely available through internet vendors and gym/salon networks, marketed as a tan."
mgf,"MGF / PEG-MGF (Mechano Growth Factor, IGF-1Ec)",EU,Not FDA-approved (gray-market),not approved anywhere; investigational research peptide. Not a cosmetic; no compounding pathway.
mk-677,MK-677 (Ibutamoren),US,Not approved,"Not FDA-approved for any indication (30 years on, still unapproved; Merck shelved it, and Lumos's LUM-201 is in pediatric development, not approved). The FDA is actively enforcing against unapproved consumer products — a consumer alert on ""iKids-Growth"" (Sept 2025) and a recall of ""Agebox"" products containing undeclared ibutamoren (March 2026). It is not a scheduled substance, but selling it in supplements is unlawful."
mk-677,MK-677 (Ibutamoren),EU,Not approved,not approved.
mots-c,MOTS-c,EU,Not FDA-approved (gray-market),Not approved for human use; not eligible for magistral/officinal compounding. Research-chemical sale does not authorise human use.
mots-c,MOTS-c,US,Not FDA-approved (under review),On the PCAC agenda for 23 July 2026 (with BPC-157/TB-500); removed from Category 2 in April 2026; FDA's pre-meeting briefing documents proposed not adding it to the 503A Bulks List. Advisory only; no final rule. Not approved.
mots-c,MOTS-c,INT,Approved nowhere,Approved nowhere.
nad-plus,NAD+ (and its precursors NMN / NR),EU,"sold as a dietary supplement (NMN, NR, niacin/nicotinamide) ","sold as a dietary supplement (NMN, NR, niacin/nicotinamide) and as IV NAD⁺ in wellness clinics. Note: NMN's US supplement status has been contested by the FDA (a regulatory grey area after NMN was investigated as a drug); NR is broadly sold. Not an approved anti-aging therapy anywhere."
naringenin,Naringenin,INT,Lawful cosmetic ingredient,"Topical Naringenin is a lawful cosmetic ingredient in the EU (Regulation (EC) 1223/2009), UK, US, and Asia. CosIng-listed. Biotech- fermented naringenin (produced by Debut Biotech and used exclusively in the Deinde brand) is chemically identical to plant-extracted naringenin and follows the same regulatory pathway. Not restricted."
niacinamide,Niacinamide (Vitamin B3),INT,Lawful cosmetic ingredient,"Topical Niacinamide is a lawful cosmetic ingredient globally, including EU (Regulation (EC) 1223/2009), UK, US, and Asia. CosIng-listed. No concentration ceiling in the EU cosmetic framework; consumer formulas typically use 2–10%. Not a controlled or restricted substance."
noopept,Noopept (Omberacetam),US,Not FDA-approved (gray-market),"Not FDA-approved. Sold as an unregulated ""supplement"" or research chemical (a legal gray area — the FDA does not recognise it as a lawful dietary ingredient, yet it's widely sold)."
noopept,Noopept (Omberacetam),EU,Not approved,not approved.
noopept,Noopept (Omberacetam),INT,approval limited to Russia/CIS,approval limited to Russia/CIS.
orforglipron,Orforglipron,INT,See note,"- Everywhere — investigational, not approved. Obesity NDA submitted to the FDA (Dec 2025); T2D filing expected 2026. A potential 2026 approval would make it the first oral small-molecule GLP-1.
- Gray market: because it is a small molecule (easier to synthesise than a peptide), unregulated ""research orforglipron"" copies may proliferate faster than peptide knock-offs — and are just as unapproved and unverified.
- Sport: GLP-1 agonists are not currently on the WADA Prohibited List.
- This venture: not a sellable lane — an investigational drug."
oxytocin,Oxytocin,US,Approved / prescription,FDA-approved as Pitocin (IV/IM) for obstetric use; the nasal spray is not currently marketed in the US (withdrawn 1995). Intranasal oxytocin for social/psychiatric uses is investigational / off-label / compounded.
oxytocin,Oxytocin,EU,Approved / prescription,approved as an obstetric drug (oxytocin/carbetocin); Syntocinon nasal spray available in some countries; social/psychiatric uses investigational.
palmitoyl-tripeptide-1-5,Palmitoyl Tripeptide-1 & Palmitoyl Tripeptide-5,EU,Lawful cosmetic,"lawful cosmetic ingredients (EU Regulation (EC) 1223/2009; US cosmetic law), sold over-the-counter worldwide. No injectable/research lane. Sellable as cosmetics — the constraint is the claims."
pdrn,PDRN (Polydeoxyribonucleotide),INT,Cosmetic topical forms sold as skincare; injectable PDRN is a regulated medical treatment,"Topical PDRN/polynucleotide cosmetics are sold over the counter framed around soothing and hydration. Injected PDRN is a medical/aesthetic procedure regulated as a drug or device depending on region and belongs to qualified professionals. Regulatory context, not a health claim."
pemvidutide,Pemvidutide,EU,Not approved,"investigational; not approved. Phase 2/2b complete; Phase 3 (PERFORMA, MASH) planned H2 2026. FDA Fast Track + Breakthrough (MASH) — advanced, well-validated program, but not yet approved."
petrelintide,Petrelintide,EU,Not FDA-approved (gray-market),"investigational; not approved. In Phase 2 completed → Phase 3 planned (H2 2026); a genuine, well-capitalized big-pharma clinical program (Roche/Zealand), not a gray-market compound."
pramlintide,Pramlintide (Symlin),INT,availability limited,availability limited; primarily a US drug.
pt-141,PT-141 (Bremelanotide),US,Approved / prescription,"FDA-approved as Vyleesi (June 2019) for acquired, generalized HSDD in premenopausal women (subcutaneous, as-needed). Men's ED / general libido use is off-label — not approved. Compounded PT-141 is widely dispensed via 503A/503B wellness channels at variable quality."
pt-141,PT-141 (Bremelanotide),EU,availability and approval status vary (confirm before relyin,availability and approval status vary (confirm before relying on it).
rapamycin,Rapamycin (Sirolimus),US,an approved prescription drug (sirolimus) for transplant rej,"an approved prescription drug (sirolimus) for transplant rejection and LAM. Longevity use is entirely off-label, requiring clinical oversight; there is no approved anti-aging indication."
retatrutide,Retatrutide,INT,See note,"- Everywhere — investigational, NOT approved. No FDA, no EMA, no approved prescription pathway; all legitimate use is within Lilly's clinical trials.
- Gray market: ""research-use-only"" retatrutide is widely sold but unapproved and unregulated — unknown purity, sterility, and dosing accuracy; it is not the trial compound.
- This venture: not a sellable lane — an investigational drug; gray-market sale is illegal and unsafe.
- Sport: an investigational incretin-class agent; not a listed performance category, but athletes under testing should verify current status."
retinol,Retinol (Vitamin A),EU,Restricted cosmetic ingredient (Annex III),"Topical Retinol, Retinyl Acetate, and Retinyl Palmitate are lawful cosmetic ingredients in the EU (Regulation (EC) 1223/2009) BUT restricted under Annex III per Commission Regulation (EU) 2024/996 of 3 April 2024. Maximum concentrations: 0.3% Retinol Equivalent (RE) in face/hands leave-on and rinse-off products; 0.05% RE in body leave-on products. Mandatory warning label required: ""Contains Vitamin A. Consider your daily intake before use."" Compliance dates: products placed on the EU market must comply from 1 November 2025; sell-off period for existing non-compliant products until 1 May 2027, after which they must be removed from shelves. Rationale: SCCS opinion identifying cumulative vitamin A exposure risk from combined dietary, supplement, and cosmetic sources."
retinol,Retinol (Vitamin A),UK,Restricted cosmetic ingredient (aligning with EU),UK Cosmetics Regulation (retained EU law post-Brexit) — closely tracks EU Annex III; brands typically maintain single EU-compliant formula for UK market.
retinol,Retinol (Vitamin A),US,Lawful cosmetic ingredient,"Topical retinol is a lawful cosmetic ingredient in the US; not subject to concentration limits at cosmetic use; concentrations up to 1–2% are marketed. Tretinoin (all-trans retinoic acid) is a separate molecule — prescription-only in the US (FDA-approved for acne, photoaging)."
retinol,Retinol (Vitamin A),INT,Varies by jurisdiction,Global producers increasingly standardise on the stricter EU limits as the default formula to simplify manufacturing and compliance; expect this to become de-facto global standard through 2026–2027.
selank,Selank,EU,Not approved,Not approved; not eligible for magistral/officinal compounding.
selank,Selank,US,Not FDA-approved (gray-market),Not FDA-approved. Gray-market / research-chemical use; its compounding status falls within the ongoing 2023–2026 FDA peptide review — confirm current status.
selank,Selank,INT,Approval limited to Russia/CIS,Approval limited to Russia/CIS.
semaglutide,Semaglutide,US,Approved / prescription,"FDA-approved across multiple indications (Novo Nordisk brands only). Compounding: the injection shortage was declared resolved on 21 Feb 2025; the 503A/503B compounder phase-out deadlines have passed, so compounded semaglutide is now largely prohibited (narrow patient-specific exceptions aside). Gray-market and counterfeit ""semaglutide"" is unapproved and a documented safety risk."
semaglutide,Semaglutide,EU,Approved / prescription,approved (EMA) as Ozempic / Wegovy / Rybelsus.
semaglutide,Semaglutide,INT,widely approved,widely approved.
semax,Semax,EU,Not approved,Not approved; not eligible for magistral/officinal compounding (no Ph. Eur. monograph).
semax,Semax,US,Not FDA-approved (under review),"Not FDA-approved. On the PCAC agenda for 24 July 2026 (day two, with DSIP/Epitalon), with cerebral ischemia as the reviewed indication; removed from Category 2 in April 2026; FDA's pre-meeting briefing documents proposed not adding it to the 503A Bulks List. Advisory only; no final rule."
semax,Semax,INT,Approval limited to Russia/CIS,Approval limited to Russia/CIS.
sermorelin,Sermorelin,US,Compounded (Rx) where lawful,"The contrast case: previously FDA-approved (Geref, 1990/1997), withdrawn 2008 for commercial reasons; no current approved product, but legally compounded (503A/503B) with a prescription. Not part of the gray-market Category-2 situation."
sermorelin,Sermorelin,EU,No current marketing authorisation,No current marketing authorisation; not a general OTC/cosmetic ingredient; compounding rules are member-state-specific.
sermorelin,Sermorelin,INT,Status varies,Varies.
slu-pp-332,"SLU-PP-332 (ERR agonist / ""exercise mimetic"")",EU,Not FDA-approved (gray-market),"not approved anywhere; investigational research chemical / chemical probe. Not a cosmetic. Sold ""research use only."""
slu-pp-915,SLU-PP-915,EU,Not FDA-approved (gray-market),not an approved drug; investigational/research chemical. Not a cosmetic.
snap-8,SNAP-8 (Acetyl Octapeptide-3),EU,Lawful cosmetic,"a lawful cosmetic ingredient (EU Regulation (EC) 1223/2009; US cosmetic law), sold over-the-counter worldwide. No injectable/research lane. Sellable as a cosmetic — the constraint is the claims."
squalane,Squalane,INT,Lawful cosmetic ingredient,"Squalane (INCI: Squalane) is a lawful cosmetic ingredient globally, including the EU (Regulation (EC) 1223/2009); CosIng-listed, with no concentration ceiling. Modern squalane is plant-derived (from sugarcane or olives) and is chemically identical to the shark-liver-derived material it has largely replaced on sustainability grounds. Not a restricted or controlled substance in any major market."
ss-31,SS-31 (Elamipretide),INT,investigational outside the US Barth indication,investigational outside the US Barth indication.
survodutide,Survodutide (BI 456906),EU,Not approved,"not approved anywhere (Phase 3, investigational). No EMA/FDA marketing authorisation; not a cosmetic; no compounding pathway."
syn-ake,Syn-Ake (Dipeptide Diaminobutyroyl Benzylamide Diacetate),EU,"a legal, established cosmetic ingredient (topical), used in ","a legal, established cosmetic ingredient (topical), used in finished skincare worldwide under standard cosmetic regulation. This is a cosmetic, not a medicine — no injection, no systemic use."
tb-500,TB-500 (Thymosin Beta-4 fragment),EU,Not approved,"Not approved for human use; not eligible for magistral/officinal compounding (no Ph. Eur. monograph). Sold only as a non-medicinal ""research"" chemical, which does not authorise human use."
tb-500,TB-500 (Thymosin Beta-4 fragment),US,Not FDA-approved (under review),Removed from 503A Category 2 in April 2026; on the PCAC agenda for 23 July 2026 (with BPC-157) for possible 503A Bulks-List inclusion; FDA's pre-meeting briefing documents proposed not adding it. Advisory only; no Federal Register rule as of this writing. Full-length Tβ4 sits on a separate drug track (see below).
tb-500,TB-500 (Thymosin Beta-4 fragment),INT,Approved nowhere,Approved nowhere.
tesamorelin,Tesamorelin,US,Approved / prescription,"Current FDA approval (Egrifta / Egrifta SV / Egrifta WR) for HIV-associated lipodystrophy; the only approved GHRH analog; regulated as a biologic. Compounded tesamorelin also exists and is used off-label (non-HIV visceral fat, NAFLD, body composition). Not part of the gray-market Category-2 situation."
tesamorelin,Tesamorelin,EU,Not marketed under a general EU authorisation (availability ,Not marketed under a general EU authorisation (availability differs from the US) — confirm current EU status before relying on it.
tesamorelin,Tesamorelin,INT,Status varies,Varies.
tesofensine,Tesofensine,US,not an approved obesity drug in major markets,"not an approved obesity drug in major markets; investigational (reached Phase 2/3). Some regional/combination development has occurred, but no broad approval."
thymalin,Thymalin,US,Not approved,not approved; the FDA has not reviewed it for any indication; not available as an approved drug in the West. Obtainable only as a research compound.
thymosin-alpha-1,Thymosin Alpha-1 (Thymalfasin / Zadaxin),US,Not FDA-approved (under review),not FDA-approved for marketing (orphan designations + stalled Phase 3). Historically dispensed via 503A/503B compounding; its compounding status has been in flux through the 2023–2026 FDA peptide review — confirm current status.
thymosin-alpha-1,Thymosin Alpha-1 (Thymalfasin / Zadaxin),EU,not EMA-centrally approved (used in some countries' clinical,not EMA-centrally approved (used in some countries' clinical practice/trials).
tirzepatide,Tirzepatide,US,Approved / prescription,"FDA-approved (Mounjaro / Zepbound; Eli Lilly only). Compounding: shortage declared resolved by the FDA (Declaratory Order, Dec 2024, all strengths); 503A enforcement discretion ended Feb 2025 → compounded tirzepatide now largely prohibited. Gray-market/counterfeit versions are unapproved and not FDA-reviewed."
