slug,name,source_index,source_text,doi,resolved,verified_title
amycretin,Amycretin,1,"Dahl K, et al. Amycretin, a novel unimolecular GLP-1 and amylin receptor agonist administered subcutaneously: a Phase 1b/2a study. Lancet. 2025.",10.1016/s0140-6736(25)01185-7,high,"Amycretin, a novel, unimolecular GLP-1 and amylin receptor agonist administered subcutaneously: results from a phase 1b/2a randomised controlled study"
argireline,Argireline (Acetyl Hexapeptide-8),0,"Blanes-Mira C, et al. A synthetic hexapeptide (Argireline) with antiwrinkle activity. Int J Cosmet Sci. 2002.",10.1046/j.1467-2494.2002.00153.x,high,A synthetic hexapeptide (Argireline) with antiwrinkle activity
argireline,Argireline (Acetyl Hexapeptide-8),3,"Lim S-H, et al. Enhanced skin permeation of anti-wrinkle peptides via molecular modification. (penetration limits.) PMC5785486.",10.1038/s41598-017-18454-z,high,Enhanced Skin Permeation of Anti-wrinkle Peptides via Molecular Modification
argireline,Argireline (Acetyl Hexapeptide-8),4,Public interest in acetyl hexapeptide-8: longitudinal analysis. PMC10915729.,10.2196/54217,high,Public Interest in Acetyl Hexapeptide-8: Longitudinal Analysis
azelaic-acid,Azelaic Acid,0,"King S, Campbell J, Rowe R, Daly ML, Moncrieff G, Maybury C. A systematic review to evaluate the efficacy of azelaic acid in the management of acne, rosacea, melasma and skin aging. J Cosmet Dermatol. 2023;22(10):2650-2662.",10.1111/jocd.15923,high,"A systematic review to evaluate the efficacy of azelaic acid in the management of acne, rosacea, melasma and skin aging"
azelaic-acid,Azelaic Acid,1,"Albzea W, AlRashidi R, Alkandari D, et al. Azelaic Acid Versus Hydroquinone for Managing Patients With Melasma: Systematic Review and Meta-Analysis of Randomized Controlled Trials. Cureus. 2023;15(7):e41796.",10.7759/cureus.41796,high,Azelaic Acid Versus Hydroquinone for Managing Patients With Melasma: Systematic Review and Meta-Analysis of Randomized Controlled Trials
azelaic-acid,Azelaic Acid,2,"McKesey J, Tovar-Garza A, Pandya AG. Melasma Treatment: An Evidence-Based Review. Am J Clin Dermatol. 2020;21(2):173-225.",10.1007/s40257-019-00488-w,high,Melasma Treatment: An Evidence-Based Review
bakuchiol,Bakuchiol,0,"Chaudhuri RK, Bojanowski K. Bakuchiol: a retinol-like functional compound revealed by gene expression profiling and clinically proven to have anti- aging effects. Int J Cosmet Sci. 2014; 36(3):221-30. doi:10.1111/ics.12117. [Sytheon Ltd — declared conflict of interest]",10.1111/ics.12117,high,Bakuchiol: a retinol‐like functional compound revealed by gene expression profiling and clinically proven to have anti‐aging effects
bakuchiol,Bakuchiol,1,"Dhaliwal S, Rybak I, Ellis SR, et al. Prospective, randomized, double- blind assessment of topical bakuchiol and retinol for facial photoageing. Br J Dermatol. 2019; 180(2):289-296. doi:10.1111/bjd.16918. [Independent — University of California / Michigan / Florida / Pennsylvania]",10.1111/bjd.16918,high,"Prospective, randomized, double‐blind assessment of topical bakuchiol and retinol for facial photoageing"
bakuchiol,Bakuchiol,2,"Draelos ZD, Gunt H, Zeichner J, Levy S. Clinical evaluation of a nature- based bakuchiol anti-aging moisturizer for sensitive skin. J Drugs Dermatol. 2020; 19(12):1181.",10.36849/jdd.2020.5522,high,Clinical Evaluation of a Nature-Based Bakuchiol Anti-Aging Moisturizer for Sensitive Skin
bakuchiol,Bakuchiol,3,"Goldberg DJ, Robinson DM, Granger C. Clinical evidence of the efficacy and safety of a new 3-in-1 anti-aging topical night serum-in-oil containing melatonin, bakuchiol, and ascorbyl tetraisopalmitate. J Cosmet Dermatol. 2020.",10.1111/jocd.12896,high,"Clinical evidence of the efficacy and safety of a new 3‐in‐1 anti‐aging topical night serum‐in‐oil containing melatonin, bakuchiol, and ascorbyl tetraisopalmitate: 103 females treated from 28 to 84 days"
bakuchiol,Bakuchiol,6,"Chaudhuri RK. Chapter — Bakuchiol: A Retinol-Like Functional Compound, Modulating Multiple Retinol and Non-Retinol Targets. In: Cosmeceuticals and Active Cosmetics. 2015. [Sytheon — mechanistic review]",10.1201/b18895-2,high,"Bakuchiol: A Retinol-Like Functional Compound, Modulating Multiple Retinol and Non-Retinol Targets"
bimagrumab,Bimagrumab (BYM338),0,"Heymsfield SB, et al. Effect of bimagrumab vs placebo on body fat mass among adults with type-2 diabetes and obesity: a Phase 2 randomized clinical trial. JAMA Netw Open. 2021.",10.1001/jamanetworkopen.2020.33457,high,Effect of Bimagrumab vs Placebo on Body Fat Mass Among Adults With Type 2 Diabetes and Obesity
bimagrumab,Bimagrumab (BYM338),2,"Nunn E, et al. Antibody blockade of activin type II receptors preserves skeletal muscle mass and enhances fat loss during GLP-1 receptor agonism. Mol Metab. 2024.",10.1016/j.molmet.2024.101880,high,Antibody blockade of activin type II receptors preserves skeletal muscle mass and enhances fat loss during GLP-1 receptor agonism
bpc-157,BPC-157,1,"Chang C-H, et al. Pentadecapeptide BPC 157 enhances growth-hormone-receptor expression in tendon fibroblasts. 2014.",10.3390/molecules191119066,high,Pentadecapeptide BPC 157 Enhances the Growth Hormone Receptor Expression in Tendon Fibroblasts
bpc-157,BPC-157,2,"Hsieh M-J, et al. Therapeutic potential of pro-angiogenic BPC157 associated with VEGFR2 activation and up-regulation. J Mol Med (Berl). 2017.",10.1007/s00109-016-1488-y,high,Therapeutic potential of pro-angiogenic BPC157 is associated with VEGFR2 activation and up-regulation
bpc-157,BPC-157,4,"Vasireddi N, et al. Emerging Use of BPC-157 in Orthopaedic Sports Medicine: a Systematic Review. 2025. — 544 articles screened → 36 included (35 preclinical, 1 clinical).",10.1177/15563316251355551,high,Emerging Use of BPC-157 in Orthopaedic Sports Medicine: A Systematic Review
ceramides,Ceramides,0,"Elias PM, Wakefield JS. Mechanisms of abnormal lamellar body secretion and the dysfunctional skin barrier in patients with atopic dermatitis. J Allergy Clin Immunol. 2014.",10.1016/j.jaci.2014.05.048,high,Mechanisms of abnormal lamellar body secretion and the dysfunctional skin barrier in patients with atopic dermatitis
ceramides,Ceramides,1,"Meckfessel MH, Brandt S. The structure, function, and importance of ceramides in skin and their use as therapeutic agents in skin-care products. J Am Acad Dermatol. 2014; 71(1):177-84.",10.1016/j.jaad.2014.01.891,high,"The structure, function, and importance of ceramides in skin and their use as therapeutic agents in skin-care products"
ceramides,Ceramides,3,"Spada F, Barnes TM, Greive KA. Skin hydration is significantly increased by a cream formulated to mimic the skin's own natural moisturizing systems. Clin Cosmet Investig Dermatol. 2018.",10.2147/ccid.s177697,high,Skin hydration is significantly increased by a cream formulated to mimic the skin&amp;rsquo;s own natural moisturizing systems
cerebrolysin,Cerebrolysin,0,"Cochrane reviews — Cerebrolysin for vascular dementia (2013; updated 2025) and for acute ischemic stroke (2023, 7 RCTs / 1,773 participants: no mortality benefit; ↑ non-fatal serious AEs RR ~2.39).",10.1002/14651858.cd008900.pub2,high,Cerebrolysin for vascular dementia
dasatinib-quercetin,Dasatinib + Quercetin / Fisetin (Senolytics),0,"Zhu Y, et al. The Achilles' heel of senescent cells: from transcriptome to senolytic drugs. Aging Cell 2015 (D+Q discovery; SCAP hypothesis).",10.1111/acel.12344,high,The Achilles’ heel of senescent cells: from transcriptome to senolytic drugs
dasatinib-quercetin,Dasatinib + Quercetin / Fisetin (Senolytics),1,"Kirkland JL, Tchkonia T. Senolytic drugs: from discovery to translation. J Intern Med 2020 (D, Q, Fisetin, Navitoclax as first senolytics).",10.1111/joim.13141,high,Senolytic drugs: from discovery to translation
dasatinib-quercetin,Dasatinib + Quercetin / Fisetin (Senolytics),3,"Yousefzadeh MJ, et al. Fisetin is a senotherapeutic that extends health and lifespan. EBioMedicine 2018 (top flavonoid; mouse lifespan).",10.1016/j.ebiom.2018.09.015,high,Fisetin is a senotherapeutic that extends health and lifespan
ectoin,Ectoin,0,"Graf R, et al. The multifunctional role of ectoine as a natural cell protectant. Clin Dermatol. 2008; 26(4):326-33.",10.1016/j.clindermatol.2008.01.002,high,The multifunctional role of ectoine as a natural cell protectant
ectoin,Ectoin,1,"Marini A, et al. Ectoine-containing cream in the treatment of mild to moderate atopic dermatitis: a randomised, comparator-controlled, intra-individual double-blind, multi-center trial. Skin Pharmacol Physiol. 2014.",10.1159/000351381,high,"Ectoine-Containing Cream in the Treatment of Mild to Moderate Atopic Dermatitis: A Randomised, Comparator-Controlled, Intra-Individual Double-Blind, Multi-Center Trial"
ectoin,Ectoin,3,"Bilstein A, et al. Ectoin in the Treatment of Irritations and Inflammations of the Eye Surface. Biomed Res Int. 2021.",10.1155/2021/8885032,high,Ectoine in the Treatment of Irritations and Inflammations of the Eye Surface
ectoin,Ectoin,4,"Kauth M, Trusova O. Topical Ectoine Application in Children and Adults to Treat Inflammatory Diseases Associated with an Impaired Skin Barrier: A Systematic Review. Dermatol Ther (Heidelb). 2022.",10.1007/s13555-021-00676-9,high,Topical Ectoine Application in Children and Adults to Treat Inflammatory Diseases Associated with an Impaired Skin Barrier: A Systematic Review
epitalon,Epitalon (Epithalon),0,"Khavinson VKh, Bondarev IE, Butyugov AA. Epithalon peptide induces telomerase activity and telomere elongation in human somatic cells. Bull Exp Biol Med. 2003.",10.1023/a:1025493705728,high,Epithalon Peptide Induces Telomerase Activity and Telomere Elongation in Human Somatic Cells
epitalon,Epitalon (Epithalon),2,Araj (et al.). Epitalon increases telomere length in human cell lines through telomerase upregulation or ALT activity. Biogerontology. 2025. (independent in-vitro study),10.1007/s10522-025-10315-x,high,Epitalon increases telomere length in human cell lines through telomerase upregulation or ALT activity
follistatin,Follistatin (FST-344),2,"Kota J, Sumner CJ, et al. Inhibition of myostatin, with emphasis on follistatin as a therapy for muscle disease. (Review; PMC2717722.)",10.1002/mus.21244,high,Inhibition of myostatin with emphasis on follistatin as a therapy for muscle disease
ghk-cu,GHK-Cu (Copper Tripeptide-1),4,"Pickart L, Margolina A. Regenerative and protective actions of the GHK-Cu peptide (gene-expression review). Int J Mol Sci. 2018 (PMID 29986520).",10.3390/ijms19071987,high,Regenerative and Protective Actions of the GHK-Cu Peptide in the Light of the New Gene Data
ghk-cu,GHK-Cu (Copper Tripeptide-1),5,"Mortazavi SM, et al. Topically applied GHK as an anti-wrinkle peptide: advantages, problems, prospects. BioImpacts. 2024.",10.34172/bi.30071,high,"Topically applied GHK as an anti-wrinkle peptide: Advantages, problems and prospective"
ghrp-6,GHRP-6,2,"Kojima M, Kangawa K, et al. Ghrelin is a growth-hormone-releasing acylated peptide from stomach. Nature. 1999. (the endogenous ligand GHRP-6 pointed to)",10.1038/45230,high,Ghrelin is a growth-hormone-releasing acylated peptide from stomach
glutathione,Glutathione (GSH),0,"Sonthalia S, et al. Glutathione as a skin whitening agent: facts, myths, evidence and controversies. Indian J Dermatol Venereol Leprol. 2016 (mechanism, evidence, Philippine FDA warning).",10.4103/0378-6323.179088,high,"Glutathione as a skin whitening agent: Facts, myths, evidence and controversies"
glutathione,Glutathione (GSH),1,"Glutathione for skin lightening: a regnant myth or evidence-based verity? (PMC5808366) — oral GRAS status, low bioavailability, IV controversy.",10.5826/dpc.0801a04,high,Glutathione for skin lightening: a regnant myth or evidence-based verity?
hexarelin,Hexarelin (Examorelin),0,"Bodart V, Ong H, et al. CD36 mediates the cardiovascular action of growth-hormone-releasing peptides in the heart. Circ Res. 2002. (CD36 identification)",10.1161/01.res.0000016164.02525.b4,high,CD36 Mediates the Cardiovascular Action of Growth Hormone-Releasing Peptides in the Heart
humanin,Humanin (HN / HNG / S14G-Humanin),0,"Hashimoto Y, et al. A rescue factor abolishing neuronal cell death by a wide spectrum of familial Alzheimer's disease genes and Aβ. PNAS. 2001 (original discovery).",10.1073/pnas.101133498,high,A rescue factor abolishing neuronal cell death by a wide spectrum of familial Alzheimer's disease genes and Aβ
hyaluronic-acid,Hyaluronic Acid (Sodium Hyaluronate),2,"Nobile V, et al. Oral intake and topical application of hyaluronic acid ameliorates skin aging signs: efficacy results of a placebo-controlled in&out trial. Cosmetics. 2025; 12:52.",10.3390/cosmetics12020052,high,Oral Intake and Topical Application of Hyaluronic Acid Ameliorates Skin Aging Signs: Efficacy Results of a Placebo-Controlled In&amp;Out Trial
hyaluronic-acid,Hyaluronic Acid (Sodium Hyaluronate),3,"Oral sodium hyaluronate improves skin hydration, barrier function and signs of aging: a randomized, double-blind, placebo-controlled trial in 150 healthy adults. Sci Rep. 2025.",10.1038/s41598-025-32758-5,high,"Oral sodium hyaluronate improves skin hydration, barrier function and signs of aging: a randomized, double-blind, placebo-controlled trial in 150 healthy adults"
hyaluronic-acid,Hyaluronic Acid (Sodium Hyaluronate),5,"Zhang R, Yaqoubi M, et al. The Effect of Local Hyaluronic Acid Injection on Skin Aging: A Systematic Review and Meta-Analysis. J Cosmet Dermatol. 2024; PMC11731322.",10.1111/jocd.16760,high,The Effect of Local Hyaluronic Acid Injection on Skin Aging: A Systematic Review and Meta‐Analysis
ipamorelin,Ipamorelin,0,"Raun K, et al. Ipamorelin, the first selective growth hormone secretagogue. Eur J Endocrinol. 1998. (PMID 9849822)",10.1530/eje.0.1390552,high,"Ipamorelin, the first selective growth hormone secretagogue"
ipamorelin,Ipamorelin,2,"Ishida J, et al. Growth hormone secretagogues: history, mechanism of action, and clinical development. JCSM Rapid Commun. 2020.",10.1002/rco2.9,high,"Growth hormone secretagogues: history, mechanism of action, and clinical development"
kojic-acid,Kojic Acid,0,"Deo KS, Dash KN, Sharma YK, Virmani NC, Oberai C. Kojic Acid vis-a-vis its Combinations with Hydroquinone and Betamethasone Valerate in Melasma: A Randomized, Single Blind, Comparative Study of Efficacy and Safety. Indian J Dermatol. 2013;58(4):281-285.",10.4103/0019-5154.113940,high,"Kojic Acid vis-a-vis its Combinations with Hydroquinone and Betamethasone Valerate in Melasma: A Randomized, Single Blind, Comparative Study of Efficacy and Safety"
kojic-acid,Kojic Acid,2,"Saeedi M, Eslamifar M, Khezri K, et al. Review on the Use of Kojic Acid — A Skin-Lightening Ingredient. Cosmetics. 2022;9(3):64.",10.3390/cosmetics9030064,high,Review on the Use of Kojic Acid—A Skin-Lightening Ingredient
kojic-acid,Kojic Acid,3,"Nakagawa M, Kawai K, Kawai K. Contact allergy to kojic acid in skin care products. Contact Dermatitis. 1995;32(1):9-13.",10.1111/j.1600-0536.1995.tb00832.x,high,Contact allergy to kojic acid in skin care products
larazotide,"Larazotide (AT-1001, Larazotide Acetate)",0,"Slifer ZM, Krishnan BR, Madan J, Blikslager AT. Larazotide acetate: a pharmacological peptide approach to tight junction regulation. Am J Physiol Gastrointest Liver Physiol. 2021 (mechanism; zonulin/MLCK).",10.1152/ajpgi.00386.2020,high,Larazotide acetate: a pharmacological peptide approach to tight junction regulation
larazotide,"Larazotide (AT-1001, Larazotide Acetate)",3,"Fasano A, et al. Zonulin, a newly discovered modulator of intestinal permeability, and its expression in coeliac disease. Lancet. 2000 (the zonulin concept). Porcine ischemia tight-junction repair (2021). (No FDA approval as of 2026; celiac program halted.)",10.1016/s0140-6736(00)02169-3,high,"Zonulin, a newly discovered modulator of intestinal permeability, and its expression in coeliac disease"
ll-37,LL-37 (Cathelicidin),1,"Lande R, et al. Cationic antimicrobial peptides in psoriatic skin cooperate to break innate tolerance to self-DNA. (LL-37 + self-DNA → TLR9/pDC); LL-37 as psoriasis T-cell autoantigen.",10.1002/eji.201344277,high,Cationic antimicrobial peptides in psoriatic skin cooperate to break innate tolerance to self‐DNA
matrixyl,Matrixyl (Palmitoyl Pentapeptide-4),0,"Robinson LR, Fitzgerald NC, Doughty DG, et al. Topical palmitoyl pentapeptide provides improvement in photoaged human facial skin. Int J Cosmet Sci. 2005. (anchor RCT, n=93)",10.1111/j.1467-2494.2005.00261.x,high,Topical palmitoyl pentapeptide provides improvement in photoaged human facial skin<sup>1</sup>
matrixyl,Matrixyl (Palmitoyl Pentapeptide-4),1,"Lintner K, Peschard O. Biologically active peptides: from a laboratory bench curiosity to a functional skin care product. Int J Cosmet Sci. 2000. (Sederma origin)",10.1046/j.1467-2494.2000.00010.x,high,Biologically active peptides: from a laboratory bench curiosity to a functional skin care product
melanotan-ii,Melanotan II,2,Hadley ME. Discovery that a melanocortin regulates sexual functions in male and female humans. Peptides. 2005.,10.1016/j.peptides.2005.01.023,high,Discovery that a melanocortin regulates sexual functions in male and female humans
mots-c,MOTS-c,0,"Lee C, Zeng J, Drew BG, … Cohen P. The mitochondrial-derived peptide MOTS-c promotes metabolic homeostasis and reduces obesity and insulin resistance. Cell Metab. 2015. (discovery paper)",10.1016/j.cmet.2015.02.009,high,The Mitochondrial-Derived Peptide MOTS-c Promotes Metabolic Homeostasis and Reduces Obesity and Insulin Resistance
naringenin,Naringenin,0,"Martinez RM, et al. Topical Formulation Containing Naringenin: Efficacy against Ultraviolet B Irradiation-Induced Skin Inflammation and Oxidative Stress in Mice. PLOS ONE. 2016.",10.1371/journal.pone.0146296,high,Topical Formulation Containing Naringenin: Efficacy against Ultraviolet B Irradiation-Induced Skin Inflammation and Oxidative Stress in Mice
naringenin,Naringenin,2,"Kim HK, et al. Inhibitory effect of naringenin on LPS-induced skin senescence by SIRT1 regulation in HDFs. Biomedical Dermatology. 2018.",10.1186/s41702-018-0035-6,high,Inhibitory effect of naringenin on LPS-induced skin senescence by SIRT1 regulation in HDFs
naringenin,Naringenin,3,"Martinez RM, et al. Protective Effects of Naringenin against UVB Irradiation and Air Pollution-Induced Skin Aging and Pigmentation. Cosmetics MDPI. 2023; 10(3):88.",10.3390/cosmetics10030088,high,Protective Effects of Naringenin against UVB Irradiation and Air Pollution-Induced Skin Aging and Pigmentation
niacinamide,Niacinamide (Vitamin B3),0,"Hakozaki T, et al. The effect of niacinamide on reducing cutaneous pigmentation and suppression of melanosome transfer. Br J Dermatol. 2002; 147(1):20-31.",10.1046/j.1365-2133.2002.04834.x,high,The effect of niacinamide on reducing cutaneous pigmentation and suppression of melanosome transfer
niacinamide,Niacinamide (Vitamin B3),1,"Bissett DL, et al. Topical niacinamide reduces yellowing, wrinkling, red blotchiness, and hyperpigmented spots in aging facial skin. Int J Cosmet Sci. 2004; 26(5):231-8.",10.1111/j.1467-2494.2004.00228.x,high,"Topical niacinamide reduces yellowing, wrinkling, red blotchiness, and hyperpigmented spots in aging facial skin<sup>1</sup>"
niacinamide,Niacinamide (Vitamin B3),3,"Marques C, et al. Mechanistic Basis and Clinical Evidence for the Applications of Nicotinamide (Niacinamide) to Control Skin Aging and Pigmentation. Antioxidants (Basel). 2021; PMC8389214.",10.3390/antiox10081315,high,Mechanistic Basis and Clinical Evidence for the Applications of Nicotinamide (Niacinamide) to Control Skin Aging and Pigmentation
niacinamide,Niacinamide (Vitamin B3),5,Topical Niacinamide in Daily Skincare: A 3-Week Real-World Cosmetic Study. Appl Sci. 2025; 15(17):9729.,10.3390/app15179729,high,Topical Niacinamide in Daily Skincare: A 3-Week Real-World Cosmetic Study
noopept,Noopept (Omberacetam),1,"Ostrovskaya RU, et al. Noopept stimulates NGF and BDNF expression in rat hippocampus. Bull Exp Biol Med. 2008; (neuroprotection in an AD cellular model — apoptosis/tau). J Biomed Sci. 2014.",10.1007/s10517-008-0297-x,high,Noopept stimulates the expression of NGF and BDNF in rat hippocampus
pramlintide,Pramlintide (Symlin),1,"Cooper GJS, et al. Purification and characterization of a peptide from amyloid-rich pancreas of type-2 diabetics (amylin). PNAS. 1987 (discovery).",10.1073/pnas.84.23.8628,high,Purification and characterization of a peptide from amyloid-rich pancreases of type 2 diabetic patients.
pramlintide,Pramlintide (Symlin),4,"Long-acting amylin-related peptides for obesity and T2D. (2026 review) — pramlintide as the first AMYR agonist, second-generation successors.",10.1016/j.peptides.2026.171480,high,Long-acting amylin-related peptides as therapies for obesity and type 2 diabetes
pt-141,PT-141 (Bremelanotide),0,Hadley ME. Discovery that a melanocortin regulates sexual functions in male and female humans. Peptides. 2005.,10.1016/j.peptides.2005.01.023,high,Discovery that a melanocortin regulates sexual functions in male and female humans
rapamycin,Rapamycin (Sirolimus),0,"Harrison DE, et al. Rapamycin fed late in life extends lifespan in genetically heterogeneous mice. Nature 2009 (NIA ITP; 3-lab replication; late-life start; the field-defining result).",10.1038/nature08221,high,Rapamycin fed late in life extends lifespan in genetically heterogeneous mice
rapamycin,Rapamycin (Sirolimus),3,"Roark KM, Iffland PH. Rapamycin for longevity: pros, cons, future perspectives. Front Aging 2025; PEARL RCT (weekly dosing safety; longevity endpoints not met). (Approved immunosuppressant; longevity use off-label and unproven in humans as of 2026.)",10.3389/fragi.2025.1628187,high,"Rapamycin for longevity: the pros, the cons, and future perspectives"
retinol,Retinol (Vitamin A),0,"Kligman AM, Grove GL, Hirose R, Leyden JJ. Topical tretinoin for photoaged skin. J Am Acad Dermatol. 1986; 15(4 Pt 2):836-59.",10.1016/s0190-9622(86)70242-9,high,Topical tretinoin for photoaged skin
retinol,Retinol (Vitamin A),3,"Kikuchi K, Suetake T, Kumasaka N, Tagami H. Improvement of photoaged facial skin in middle-aged Japanese females by topical retinol (vitamin A alcohol): a vehicle-controlled, double-blind study. J Dermatolog Treat. 2009; 20(5):276-81.",10.1080/09546630902973987,high,"Improvement of photoaged facial skin in middle-aged Japanese females by topical retinol (vitamin A alcohol): A vehicle-controlled, double-blind study"
retinol,Retinol (Vitamin A),4,"Draelos ZD, et al. A Double-Blind, Comparative Clinical Study of Newly Formulated Retinol Serums vs Tretinoin Cream in Escalating Doses. J Drugs Dermatol. 2020; 19(6):625-31. doi:10.36849/JDD.2020.5085.",10.36849/jdd.2020.5085,high,"A Double-Blind, Comparative Clinical Study of Newly Formulated Retinol Serums vs Tretinoin Cream in Escalating Doses: A Method for Rapid Retinization With Minimized Irritation"
retinol,Retinol (Vitamin A),5,"Zasada M, Budzisz E, Erkiert-Polguj A. A Clinical Anti-Ageing Comparative Study of 0.3 and 0.5% Retinol Serums. Skin Pharmacol Physiol. 2020; 33(2):102-116.",10.1159/000508168,high,A Clinical Anti-Ageing Comparative Study of 0.3 and 0.5% Retinol Serums: A Clinically Controlled Trial
retinol,Retinol (Vitamin A),6,"Motamedi M, Chehade A, Sanghera R, Grewal P. A Clinician's Guide to Topical Retinoids. J Cutan Med Surg. 2022; 26(1):71-78. doi:10.1177/12034754211035091.",10.1177/12034754211035091,high,A Clinician’s Guide to Topical Retinoids
retinol,Retinol (Vitamin A),7,"Siddiqui MA, Ali Z, Bilal M, et al. Comparative efficacy of topical interventions for facial photoaging: a network meta-analysis. Sci Rep. 2025 (23 RCTs, n=3,905).",10.1038/s41598-025-12597-0,high,Comparative efficacy of topical interventions for facial photoaging: a network meta-analysis
retinol,Retinol (Vitamin A),8,"Xie Y, et al. Tretinoin for Photodamaged Facial Skin: Systematic Review and Meta-Analysis of Randomized Controlled Trials. Dermatol Pract Concept. 2025 (8 RCTs, n=1,361; comparator context for retinol).",10.5826/dpc.1504a5172,high,Tretinoin for Photodamaged Facial Skin: Systematic Review and Meta-Analysis of Randomized Controlled Trials
retinol,Retinol (Vitamin A),9,"Scientific Committee on Consumer Safety (SCCS). Opinion on the safety of Vitamin A (retinol, retinyl acetate, retinyl palmitate) in cosmetic products. SCCS/1639/21. European Commission.",10.1016/j.yrtph.2016.11.017,high,"Opinion of the Scientific Committee on Consumer Safety (SCCS) – Final version of the Opinion on Vitamin A (retinol, retinyl acetate and retinyl palmitate) in cosmetic products"
slu-pp-332,"SLU-PP-332 (ERR agonist / ""exercise mimetic"")",0,"Billon C, et al. Synthetic ERRα/β/γ agonist induces an ERRα-dependent acute aerobic exercise response and enhances exercise capacity. ACS Chem Biol. (the discovery/mechanism).",10.1021/acschembio.2c00720,high,Synthetic ERRα/β/γ Agonist Induces an ERRα-Dependent Acute Aerobic Exercise Response and Enhances Exercise Capacity
slu-pp-915,SLU-PP-915,0,"Billon C, Appourchaux K, Côté I, Burris TP. An orally active estrogen receptor–related receptor agonist, SLU-PP-915, enhances aerobic exercise capacity. J Pharmacol Exp Ther. 2026;393(1):103787 (the defining paper: oral activity, distinct scaffold, comparable efficacy at lower dose, Ddit4).",10.1016/j.jpet.2025.103787,high,"An orally active estrogen receptor–related receptor agonist, SLU-PP-915, enhances aerobic exercise capacity"
slu-pp-915,SLU-PP-915,1,"Billon C, et al. A synthetic ERR agonist alleviates metabolic syndrome. J Pharmacol Exp Ther. 2024 (class metabolic effects).",10.1124/jpet.123.001733,high,A Synthetic ERR Agonist Alleviates Metabolic Syndrome
