slug,name,compound_class,outcome,grade,base,effect,caveat
bakuchiol,Bakuchiol,small_molecule,Hyperpigmentation appearance,B,"Dhaliwal 2019 — significant decrease in hyperpigmentation, no statistical difference vs retinol 0.5%; graded blinded by board-certified dermatologist and by computer photograph analysis.",Visible reduction in appearance of uneven pigmentation over 12 weeks,Same evidence base as wrinkle outcome (single RCT); replication needed
bakuchiol,Bakuchiol,small_molecule,Tolerability vs retinol (fewer side effects),B,Dhaliwal 2019 — retinol group reported significantly more facial scaling and stinging; bakuchiol group had lower rates of subjective itching and burning (not statistically significant) and significantly lower stinging,"Better tolerability than retinol at equivalent concentration; suitable for sensitive skin, no reported ""retinization"" period","Studied population was mixed adults with photodamage; specific data on rosacea, active eczema, or highly reactive skin limited"
bakuchiol,Bakuchiol,small_molecule,Collagen/ECM gene expression (mechanism-level),B,"Chaudhuri & Bojanowski 2014 (Int J Cosmet Sci) — comparative gene expression profiling of bakuchiol vs retinol in EpiDermFT full-thickness skin substitutes; volcano plots showed great overall similarity of gene expression modulation. In human dermal fibroblasts, bakuchiol upregulated type I collagen ~1.4-fold and type IV collagen ~1.6-fold, comparable to 0.025% retinol. Mechanism involves MAPK/ERK signalling — not RAR/RXR receptor binding (bakuchiol has no structural resemblance to retinoids).",Retinol-like gene expression signature and collagen upregulation via non-retinoid pathway,Chaudhuri & Bojanowski are Sytheon Ltd employees (Sytenol A patent holder) — declared conflict of interest. Independent replication of full gene profile is limited. Mechanism is real but paper is commercially motivated.
bakuchiol,Bakuchiol,small_molecule,Antioxidant / anti-lipoperoxidation,B,In vitro: bakuchiol ~60-fold more effective than natural tocopherol at inhibiting squalene peroxidation (IC50 0.5 vs 30 µg/mL); reduces UVB- induced IL-6 and TNF-α in keratinocyte cultures ~35–45%,Antioxidant activity in skin cells and lipids,Cell-culture data; clinical translation to visible endpoints in humans not directly demonstrated at this granularity
bakuchiol,Bakuchiol,small_molecule,Acne appearance,C,Limited clinical trials at 0.5–1% in acne-affected skin; comprehensive review 2020 (JOID) discusses evidence but base is small,Reduction in appearance of blemishes and pore appearance,"Acne treatment is medical territory (retinoids, benzoyl peroxide, antibiotics); cosmetic scope covers appearance only. Evidence base smaller than for photoaging."
bakuchiol,Bakuchiol,small_molecule,"""Natural retinol"" / ""plant-based retinol"" identity",F,Marketing claim,,"A compositional claim, not a clinical one — no human study can bear on it. Bakuchiol is a meroterpene phenol (C22H34O2); retinol is C20H30O. It contains no retinol, is not a retinoid, and does not bind retinoic acid receptors. The only support ever offered is a retinol-like gene-expression signature in full-thickness skin substitutes and cultured dermal fibroblasts — in vitro, and authored by employees of the ingredient's patent holder. Matching retinol in a trial does not make a molecule retinol."
bakuchiol,Bakuchiol,small_molecule,"""As effective as retinol"" clinical equivalence",C,Marketing claim,,"A real head-to-head was run: randomised, double-blind, 12 weeks, n=44, 0.5% bakuchiol against 0.5% retinol, independent of the ingredient supplier. Both arms significantly reduced wrinkle surface area and hyperpigmentation with no statistical difference between them, graded blind by a board-certified dermatologist and by computer photograph analysis; further human work in sensitive skin and an independent replication point the same way. The evidence is still early and small — one independent trial of that size over that span, designed to detect superiority with no prespecified non-inferiority margin, so a difference not detected is not equivalence demonstrated."
bakuchiol,Bakuchiol,small_molecule,Pregnancy / breastfeeding safety,,Bakuchiol is not a retinoid (structurally unrelated) and does not carry the vitamin A cumulative exposure concern that led to EU retinol restrictions (Regulation 2024/996). However — no dedicated pregnancy safety studies exist; FDA has not assigned a pregnancy safety rating.,Widely marketed as pregnancy-safe retinol alternative; not classified as a pregnancy risk by regulatory authorities,Absence of evidence of risk is not evidence of absence of risk. Pregnant and breastfeeding users should consult a healthcare provider before starting any new active. Vallydia does not make pregnancy-specific claims and directs users to their doctor for individual assessment.
bakuchiol,Bakuchiol,small_molecule,"Purity, sourcing, and photosensitising contaminants (safety)",,"To carry the INCI name ""Bakuchiol"", the ingredient must be >80% pure. Lower-purity Psoralea corylifolia (babchi) seed extracts and oils may contain furocoumarins (psoralen, isopsoralen) that are photosensitising and can cause serious skin reactions upon UV exposure. These are not bakuchiol per se — they are contaminants of unpurified extract.",Well-purified bakuchiol has a clean tolerability profile; unpurified babchi extracts carry meaningfully different safety concerns,"When formulating or evaluating a product, verify the INCI declaration shows ""Bakuchiol"" (purified) and not ""Psoralea corylifolia extract"" or ""babchi oil"" — the latter are not equivalent for safety purposes"
bakuchiol,Bakuchiol,small_molecule,Systemic / oral use,F,Some traditional-medicine and animal studies of Psoralea corylifolia extract,Not applicable — Vallydia treats bakuchiol strictly as a topical cosmetic ingredient,Oral use of babchi extracts is associated with hepatotoxicity concerns in some case reports (Chinese herbal medicine context) and is outside cosmetic scope entirely
bimagrumab,Bimagrumab (BYM338),protein,"Body recomposition (fat ↓ + lean ↑), obesity/T2D",B,"Phase 2 RCT (Heymsfield 2021; fat ~−20%, lean ~+3–4%, insulin sensitivity ↑)",Unique dual effect,"Real human Phase 2, but not approved; single-agent weight change is near-neutral"
bimagrumab,Bimagrumab (BYM338),protein,Muscle-sparing + fat loss with GLP-1 (the thesis),B,"BELIEVE Phase 2b + semaglutide (Nature Med 2026; >90% of loss as fat, lean preserved)",Higher-quality weight loss,"Emerging and positive, but Phase 2b; tirzepatide combos mixed (one terminated)"
bimagrumab,Bimagrumab (BYM338),protein,Sporadic inclusion body myositis (original indication),F,Phase 2b/3 (RESILIENT),Failed primary endpoint,"Grew muscle but did not improve function — the ""mass ≠ function"" wall"
bimagrumab,Bimagrumab (BYM338),protein,Sarcopenia / post-hip-fracture,C,Phase 2,"Muscle mass ↑, mobility/strength minimal",Same mass-vs-function caveat
bimagrumab,Bimagrumab (BYM338),protein,Metabolic (insulin sensitivity),B,Phase 2 (~18% improvement),Improved,Secondary; consistent
bimagrumab,Bimagrumab (BYM338),protein,Safety,,Phase 2 across indications,Generally tolerated,"Muscle cramps/spasms, diarrhea, mild pancreatic-enzyme rises, acne; relatively clean vs older ActRII traps"
bpc-157,BPC-157,peptide,"GI / gastric mucosal protection (NSAID-, ethanol-, stress-induced ulcers)",B,Numerous rodent studies since 1993; the most-replicated finding,Consistent protective effect,Robust preclinical signal only; no completed human RCT
bpc-157,BPC-157,peptide,Tendon & ligament healing,B,Multiple rodent models incl. transected Achilles; independent replication (Taiwan),"Accelerated healing, better biomechanics",Consistent in animals; mechanism plausible; no human efficacy trial
bpc-157,BPC-157,peptide,Muscle & bone injury healing,C,Rodent crush/transection/fracture models,Improved functional & structural outcomes,Preclinical only; heterogeneous designs
bpc-157,BPC-157,peptide,Nerve / spinal-cord / brain injury,C,Early rodent models,Neuroprotective signals,Far from human evidence
bpc-157,BPC-157,peptide,Ulcerative colitis (the FDA-nominated compounding use),D,Preclinical + limited,Insufficient to conclude,FDA's July-2026 briefing proposed not listing it; inadequate human data
bpc-157,BPC-157,peptide,"Marketed ""healing stack"" / human recovery, performance, anti-aging",F,None (extrapolated from animal data),Not demonstrated in humans,No controlled human trials support these marketing claims
bpc-157,BPC-157,peptide,Human safety & long-term effects,,No adequate human data,Unknown,Long-term safety not established; gray-market purity/sterility is a separate risk
cagrilintide,Cagrilintide,peptide,Weight loss — CagriSema (combination),B,Phase 3 REDEFINE-1/-2 (~20–23%); NDA filed Dec 2025,Substantial (tirzepatide-comparable),"Strong Phase 3 and FDA-filed, but not yet approved; the result disappointed inflated expectations"
cagrilintide,Cagrilintide,peptide,Weight loss — cagrilintide monotherapy,B,"Phase 2 (Lancet 2021, ~10.8%) + REDEFINE arm (~11.8%)",Meaningful; comparable to semaglutide alone,Not being filed standalone; lower nausea than GLP-1
cagrilintide,Cagrilintide,peptide,Amylin / satiety mechanism,,Established amylin biology,"Real, complementary pathway",Mechanistically distinct from GLP-1
cagrilintide,Cagrilintide,peptide,Safety,,REDEFINE programme,Class-similar; monotherapy has less nausea,"Combination GI effects are additive; serious events (pancreatitis, gallbladder) similar to semaglutide; investigational"
ceramides,Ceramides,small_molecule,Barrier repair / TEWL reduction (ceramide-dominant formula),A,"Multiple RCTs and controlled trials; multicenter study n=312 (4-week ceramide-enriched regimen, SCORAD −61.2%); 2019 qualitative review of 12 clinical studies; 2024-2025 controlled trials showing structurally skin-identical ceramide NP/AP/EOP formulations reduce transepidermal water loss and raise stratum corneum lipid content","Measurable reduction in transepidermal water loss and improved skin hydration, typically within 1–2 weeks of consistent twice-daily use",Efficacy depends heavily on formulation — ceramides work as barrier lipids only when combined with cholesterol and free fatty acids in balanced ratios (see mechanism). Isolated ceramides in a poor vehicle underperform.
ceramides,Ceramides,small_molecule,Adjunct in atopic dermatitis / eczema-prone dry skin (appearance & comfort),A,Multiple interventional studies in mild-to-moderate atopic dermatitis; ceramide-dominant formulations achieve ~45–60% clinical success (IGA clear/almost clear) in 3–8 week studies; physiological-lipid formulations (MVE+GL) outperform simple emollients in barrier integrity,"Reduced dryness, itch, and roughness; improved barrier integrity as an adjunct to (not replacement for) medical treatment","Atopic dermatitis is a medical condition — ceramide cosmetics are barrier-supportive adjuncts, not treatments. Persistent or severe cases need a dermatologist."
ceramides,Ceramides,small_molecule,Aged / menopausal skin barrier (hydration & smoothness appearance),B,Clinical research in elderly individuals showing high-concentration ceramide formulations improve hydration and barrier function; consistent with the age-related decline in endogenous ceramide content,Improved skin hydration and the appearance of smoother skin,"Fewer large trials specific to aged skin than to atopic dermatitis; effect is barrier/hydration-mediated, not collagen-building"
ceramides,Ceramides,small_molecule,Oral ceramide supplementation (skin hydration),C,Small open-label studies (e.g. rice-derived ceramide supplementation n=50) suggesting hydration benefit; evidence far thinner than for topical,Possible modest hydration improvement,Oral use is outside cosmetic scope and much less established than topical. Not relevant to Vallydia's sellable topical products.
cerebrolysin,Cerebrolysin,peptide,Vascular dementia,C,Multiple RCTs + 2020 systematic review (J Neural Transm); often cited as its strongest indication,,Among the better-supported uses — but Cochrane still cautious; manufacturer funding pervasive
cerebrolysin,Cerebrolysin,peptide,Alzheimer's disease (cognition),C,"Meta-analysis of 6 double-blind placebo-controlled trials: significant vs placebo at 4 wk, effect size ~ cholinesterase inhibitors",,"Positive signal, but short follow-up, small trials, industry-sponsored; Cochrane ""very low"" quality"
cerebrolysin,Cerebrolysin,peptide,Stroke recovery (cognitive/functional),C,"CASTA (1,070 pts): improved 90-day cognition; several rehab RCTs",,Individual trials positive; 2023 Cochrane: no mortality benefit + ↑ serious AEs (RR ~2.39); 2012 trial doubted benefit except severe cases
cerebrolysin,Cerebrolysin,peptide,Traumatic brain injury (TBI),C,RCTs + 2025 mechanistic work on secondary-injury modulation,,Suggestive; smaller/heterogeneous evidence
cerebrolysin,Cerebrolysin,peptide,Nootropic use in healthy adults (the gray-market use),F,Essentially none — trials are in disease populations,,No evidence it helps healthy cognition or prevents dementia; extrapolation from patient data is unjustified
cerebrolysin,Cerebrolysin,peptide,Independent replication / overall quality,,Three decades of Cochrane appraisal,,"The core problem: predominantly manufacturer-funded, high risk of bias, no independent confirmation. Large ≠ high-quality"
cerebrolysin,Cerebrolysin,peptide,Safety,,Large exposure across trials/clinical use,,Generally described as safe short-term; porcine allergy = absolute contraindication; rare seizure reports (causality unclear); caution with serotonergic antidepressants; 2023 Cochrane flagged ↑ non-fatal serious AEs
cjc-1295,CJC-1295,peptide,Raises GH / IGF-1 in humans,B,Phase 1 (Teichman 2006) + animal studies,Sustained elevation,Pharmacology is real; but raising GH/IGF-1 ≠ a proven clinical benefit
cjc-1295,CJC-1295,peptide,Clinical efficacy (lipodystrophy),D,Phase 2 (NCT00267527) — halted,Inconclusive,Trial terminated after a participant death; no efficacy conclusion reached
cjc-1295,CJC-1295,peptide,Anti-aging / body composition / muscle,F,None in humans,Not demonstrated,Extrapolated from GH/IGF-1 changes; never tested for these goals
cjc-1295,CJC-1295,peptide,Safety & long-term,,Limited; a trial-death shadow,Unknown,"Causation disputed; GH/IGF-1 elevation carries theoretical risks (IGF-1/oncologic, insulin resistance, edema); WADA-banned"
cjc-1295-ipamorelin,"CJC-1295 + Ipamorelin (""CJC/Ipa"")",blend,Synergistic GH release (combination),C,Mechanistic (GHRH + GHRP synergy is established); each component raises GH in humans,Larger GH pulse than either alone (plausible),"Mechanistically sound, but see below — the specific combo is essentially untested in controlled trials"
cjc-1295-ipamorelin,"CJC-1295 + Ipamorelin (""CJC/Ipa"")",blend,The specific CJC-1295 + Ipamorelin combination for any clinical endpoint,F,No controlled clinical trial has evaluated it,Not demonstrated,Zero combination RCT; anti-aging/body-composition claims are extrapolation
cjc-1295-ipamorelin,"CJC-1295 + Ipamorelin (""CJC/Ipa"")",blend,Safety (combination),,No dedicated human safety data,Unknown,Inherits both components' unknowns; GH/IGF-1 elevation theoretical risks; WADA-banned
dasatinib-quercetin,Dasatinib + Quercetin / Fisetin (Senolytics),blend,Senescent-cell clearance in humans (the proof-of-concept),B,Hickson 2019 (diabetic kidney disease): D+Q measurably reduced senescent cells in people,,The genuine landmark — first human senolytic clearance; but clearance ≠ clinical benefit
dasatinib-quercetin,Dasatinib + Quercetin / Fisetin (Senolytics),blend,Lifespan/healthspan (animal),A,D+Q and fisetin extend healthspan/lifespan across mouse models; fisetin top of 10 flavonoids,,"Strong mouse data — the usual ""mouse ≠ human"" gap applies"
dasatinib-quercetin,Dasatinib + Quercetin / Fisetin (Senolytics),blend,Alzheimer's / cognition (human),F,"SToMP-AD Phase 1: ""very few significant results, no suggestion of effectiveness""; STAMINA pilot (n=12) feasibility only",,Tested — no cognitive benefit shown; safety/feasibility only
dasatinib-quercetin,Dasatinib + Quercetin / Fisetin (Senolytics),blend,Osteoporosis / bone (human),D,Mayo Phase 2: missed on whole group; burden-dependent subgroup signal,,Negative primary; hypothesis that baseline senescent burden dictates response
dasatinib-quercetin,Dasatinib + Quercetin / Fisetin (Senolytics),blend,Frailty / physical function (human),C,"Fisetin AFFIRM-LITE: mixed, some positive physical-function trends",,Preliminary/mixed; ongoing
dasatinib-quercetin,Dasatinib + Quercetin / Fisetin (Senolytics),blend,Safety (intermittent dosing),B,"Short ""hit-and-run"" pulses safe/well-tolerated in trials to date",,Flavonoids benign; dasatinib is a real chemo drug — off-label self-use is hazardous
dihexa,Dihexa (PNB-0408),peptide,Synaptogenesis / cognition (the marketed use),F,"Preclinical only: rodent cognitive-restoration (scopolamine/aged) + slice synaptogenesis; ""10M× BDNF"" claim",,"Zero human data; the headline potency claim traces to retracted, fabricated work"
